	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d
	frame	frame	frame
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
173	-16.677794	54.853058	74.067719
174	-18.955055	55.065926	77.078117
175	-21.232138	55.267029	80.124794
176	-23.684969	55.370144	83.313713
177	-26.057402	55.335110	86.428612
178	-28.565512	55.247360	89.705978
179	-31.101383	55.066807	92.992302
180	-33.704681	54.708397	96.310059
181	-36.053631	54.332603	99.459091
182	-38.238819	53.891953	102.462029
183	-40.234116	53.293621	105.259293
184	-41.994946	52.713692	107.919846
185	-43.644135	52.125427	110.461090
186	-44.931446	51.540291	112.687256
187	-46.129299	50.890385	114.816658
188	-46.969746	50.354980	116.664360
189	-47.557018	49.771458	118.288773
190	-48.093246	49.241501	119.861229
191	-48.454803	48.729858	121.284637
192	-48.771736	48.244804	122.645676
193	-49.003448	47.726715	123.916313
194	-49.220039	47.222656	125.160515
195	-49.474392	46.778011	126.395599
196	-49.706192	46.203602	127.580460
197	-49.943516	45.728569	128.705460
198	-50.203903	45.156456	129.838379
199	-50.528530	44.572044	131.019592
200	-50.890991	43.946377	132.119431
201	-51.218693	43.328125	133.187302
202	-51.567101	42.713577	134.241913
203	-52.145473	41.955639	135.421326
204	-52.598072	41.195862	136.437485
205	-53.092373	40.448994	137.445526
206	-53.619312	39.624928	138.440277
207	-54.153400	38.810543	139.398468
208	-54.682449	37.982353	140.330841
209	-55.233505	37.140614	141.206070
210	-55.688583	36.329563	141.978851
211	-56.177757	35.502731	142.734741
212	-56.638657	34.683559	143.442871
213	-57.033985	33.846500	144.084229
214	-57.434494	33.121700	144.672852
215	-57.774078	32.413498	145.190750
216	-58.045200	31.781219	145.642960
217	-58.415096	31.152046	146.089020
218	-58.686653	30.447290	146.483475
219	-58.919540	29.786018	146.848770
220	-59.284172	29.241119	147.244202
221	-59.516842	28.563087	147.567307
222	-59.930794	27.931877	147.962952
223	-60.343391	27.207777	148.371140
224	-60.791115	26.497086	148.777588
225	-61.150433	25.812450	149.110657
226	-61.562160	25.039818	149.533432
227	-61.992496	24.278044	149.913879
228	-62.385658	23.568476	150.283661
229	-62.831211	22.844700	150.700394
230	-63.231773	22.221899	151.080338
231	-63.579918	21.702103	151.441391
232	-63.880527	21.153307	151.793976
233	-64.223053	20.725647	152.155090
234	-64.486504	20.314190	152.512268
235	-64.732620	19.951431	152.825928
236	-64.968468	19.615654	153.206604
237	-65.168343	19.265320	153.501816
238	-65.367783	19.061186	153.820236
239	-65.523590	18.732208	154.102829
240	-65.726318	18.459517	154.436295
241	-65.881340	18.162195	154.761200
242	-66.058784	17.938187	155.100891
243	-66.243111	17.650093	155.457153
244	-66.364044	17.347610	155.847702
245	-66.555466	17.083038	156.242401
246	-66.782570	16.872217	156.680405
247	-66.925987	16.682024	157.125565
248	-67.070694	16.568342	157.576859
249	-67.083900	16.545128	158.063248
250	-67.150574	16.563032	158.591095
251	-67.170815	16.661037	159.115067
252	-67.175797	16.712910	159.721497
253	-67.203056	16.688463	160.386871
254	-67.279053	16.653543	161.096268
255	-67.343788	16.485149	161.869507
256	-67.389313	16.193192	162.719376
257	-67.523483	15.682830	163.641464
258	-67.681244	14.931499	164.640732
259	-67.840813	13.908127	165.749176
260	-68.094482	12.629726	166.933167
261	-68.291626	11.053308	168.164963
262	-68.455376	9.195240	169.469269
263	-68.592255	7.160422	170.797501
264	-68.691032	4.914259	172.150253
265	-68.590347	2.597184	173.513504
266	-68.445091	0.262898	174.846390
267	-68.150307	-2.043003	176.203018
268	-67.824715	-4.238835	177.511627
269	-67.336792	-6.254639	178.788696
270	-66.772141	-8.021728	-179.939240
271	-66.207748	-9.532196	-178.714844
272	-65.593536	-10.713344	-177.531937
273	-64.968460	-11.472796	-176.397125
274	-64.368195	-11.810227	-175.294724
275	-63.779392	-11.876797	-174.249603
276	-63.299191	-11.507137	-173.292099
277	-62.858860	-10.863611	-172.406647
278	-62.502674	-9.993132	-171.566895
279	-62.229443	-8.936232	-170.786743
280	-62.065979	-7.768818	-170.079498
281	-61.911999	-6.491285	-169.421295
282	-61.809128	-5.285514	-168.797409
283	-61.742485	-4.027018	-168.236526
284	-61.715343	-2.885488	-167.706619
285	-61.682312	-1.780298	-167.194672
286	-61.685303	-0.765525	-166.736084
287	-61.694366	0.120640	-166.344086
288	-61.692993	0.953948	-165.925705
289	-61.713245	1.630700	-165.627869
290	-61.706936	2.213230	-165.331573
291	-61.671009	2.572377	-165.106247
292	-61.575619	2.783849	-164.920471
293	-61.529358	2.870549	-164.780975
294	-61.421864	2.878884	-164.658951
295	-61.271744	2.784009	-164.580399
296	-61.088760	2.603473	-164.537613
297	-60.959816	2.415416	-164.477234
298	-60.724358	2.202642	-164.484528
299	-60.467148	1.863458	-164.516434
300	-60.222420	1.518592	-164.569824
301	-59.965313	1.225456	-164.646378
302	-59.600082	0.924935	-164.766083
303	-59.345062	0.542801	-164.861008
304	-58.988983	0.150450	-164.997192
305	-58.587021	-0.201220	-165.104919
306	-58.204784	-0.543539	-165.220123
307	-57.903572	-0.676487	-165.377289
308	-57.587120	-0.789106	-165.500137
309	-57.367565	-0.584191	-165.661133
310	-57.160793	-0.290469	-165.807114
311	-57.023838	0.332808	-165.955368
312	-56.927185	1.078607	-166.129242
313	-56.935623	1.988838	-166.278427
314	-56.958935	2.990195	-166.463821
315	-56.911549	3.914100	-166.599533
316	-56.940536	4.906065	-166.727768
317	-56.931015	5.756091	-166.908188
318	-56.893326	6.551945	-167.036011
319	-56.848335	7.228693	-167.215195
320	-56.762314	7.792255	-167.386261
321	-56.664776	8.266598	-167.569565
322	-56.626713	8.630805	-167.737595
323	-56.487988	8.769206	-167.936752
324	-56.348019	8.855374	-168.132187
325	-56.205147	8.849218	-168.366257
326	-56.102261	8.791835	-168.610916
327	-56.046078	8.680298	-168.855530
328	-55.935722	8.583319	-169.129761
329	-55.911972	8.479816	-169.386627
330	-55.900303	8.394597	-169.709885
331	-55.932491	8.347912	-169.994614
332	-56.023628	8.352750	-170.333588
333	-56.155205	8.495941	-170.651398
334	-56.307064	8.725167	-171.009262
335	-56.562389	9.125914	-171.354462
336	-56.889172	9.591965	-171.667816
337	-57.227173	10.142364	-172.027863
338	-57.603226	10.747388	-172.367035
339	-58.019848	11.342280	-172.686890
340	-58.321045	11.892088	-173.036285
341	-58.689686	12.291734	-173.314774
342	-59.003716	12.612422	-173.630386
343	-59.310516	12.768974	-173.928589
344	-59.596565	12.825179	-174.210587
345	-59.771881	12.653066	-174.488693
346	-59.982086	12.376570	-174.713028
347	-60.105999	11.985371	-174.938889
348	-60.188988	11.479986	-175.149139
349	-60.264141	10.924543	-175.315460
350	-60.322334	10.388977	-175.465149
351	-60.366577	9.838325	-175.562210
352	-60.335373	9.252809	-175.652878
353	-60.279179	8.667184	-175.702087
354	-60.209095	8.182258	-175.712585
355	-60.126572	7.713988	-175.716583
356	-60.058804	7.293920	-175.678040
357	-59.926918	6.880615	-175.632599
358	-59.723038	6.498415	-175.549927
359	-59.541138	6.175634	-175.450806
360	-59.363483	5.803430	-175.339432
361	-59.043762	5.444446	-175.198730
362	-58.749580	5.078039	-175.023178
363	-58.458649	4.667872	-174.868011
364	-58.060139	4.290643	-174.678650
365	-57.630562	3.862975	-174.482269
366	-57.150681	3.450716	-174.266876
367	-56.702099	2.996106	-174.015518
368	-56.193493	2.598485	-173.752670
369	-55.677509	2.139378	-173.468887
370	-55.085430	1.708001	-173.167435
371	-54.568012	1.371040	-172.841370
372	-54.011456	0.976189	-172.515152
373	-53.502720	0.765373	-172.152557
374	-52.962723	0.525766	-171.769150
375	-52.459972	0.410563	-171.395966
376	-51.944752	0.328764	-170.980713
377	-51.437870	0.286752	-170.540421
378	-50.875164	0.252314	-170.052841
379	-50.331757	0.188809	-169.566360
380	-49.841011	0.215902	-169.030319
381	-49.281017	0.268493	-168.484009
382	-48.764896	0.400152	-167.894424
383	-48.322525	0.683553	-167.300583
384	-47.856003	0.968815	-166.665176
385	-47.415314	1.389594	-166.006165
386	-46.991901	1.874572	-165.318375
387	-46.582893	2.318979	-164.614960
388	-46.169018	2.837516	-163.857285
389	-45.758350	3.351786	-163.068268
390	-45.324329	3.851004	-162.279922
391	-44.822994	4.383976	-161.466125
392	-44.371330	4.841699	-160.644287
393	-43.895298	5.322413	-159.801804
394	-43.293327	5.732832	-158.957825
395	-42.734753	6.180762	-158.114075
396	-42.134483	6.584610	-157.259323
397	-41.458328	7.021019	-156.426544
398	-40.771523	7.384001	-155.587753
399	-40.061974	7.831388	-154.758392
400	-39.344318	8.279151	-153.926071
401	-38.567848	8.708260	-153.108337
402	-37.799381	9.154202	-152.313324
403	-37.013729	9.602704	-151.515259
404	-36.216412	10.061322	-150.738235
405	-35.338127	10.497185	-149.976654
406	-34.489399	10.945553	-149.217499
407	-33.671566	11.439364	-148.436890
408	-32.809204	11.912814	-147.724899
409	-31.947668	12.359998	-147.035278
410	-31.087862	12.875277	-146.362823
411	-30.238272	13.399417	-145.711456
412	-29.328884	13.930263	-145.113419
413	-28.442341	14.427453	-144.529861
414	-27.471521	14.933898	-143.977539
415	-26.552855	15.467838	-143.453217
416	-25.623592	15.996084	-142.980621
417	-24.731770	16.505676	-142.490067
418	-23.771242	17.048090	-142.134354
419	-22.817102	17.590721	-141.775665
420	-21.833277	18.135380	-141.488831
421	-20.773294	18.583229	-141.258881
422	-19.815905	19.005337	-141.002380
423	-18.673706	19.407619	-140.898819
424	-17.652424	19.756157	-140.773499
425	-16.537432	20.097946	-140.754639
426	-15.400863	20.402943	-140.766495
427	-14.337074	20.766390	-140.826370
428	-13.165890	21.160364	-140.987213
